similarity,pValue,nGenes,treatment,perturbagenID,time,signatureid,cellline,Source_Signature,perturbagen
0.3164,8.6806e-8,274,SOCS5,CGS001-9655,96 h,LINCSKD_2998,A375,LINCSCP_184,Fluoxetine
0.3104,1.5647e-7,274,IKBKE,CGS001-9641,96 h,LINCSKD_1515,A375,LINCSCP_184,Fluoxetine
-0.2988,3.7798e-8,326,SOCS5,CGS001-9655,96 h,LINCSKD_13717,HCC515,LINCSCP_19161,Fluoxetine
0.2547,3.2008e-6,326,SOCS2,CGS001-8835,96 h,LINCSKD_13715,HCC515,LINCSCP_19161,Fluoxetine
0.4356,2.9635e-14,277,JAK1,CGS001-3716,96 h,LINCSKD_9662,HA1E,LINCSCP_209665,Fluoxetine
0.3725,1.5197e-10,277,NFKB2,CGS001-4791,96 h,LINCSKD_10097,HA1E,LINCSCP_209665,Fluoxetine
0.352,1.6821e-9,277,STAT3,CGS001-6774,96 h,LINCSKD_11113,HA1E,LINCSCP_209665,Fluoxetine
0.3446,3.8625e-9,277,STAT5A,CGS001-6776,96 h,LINCSKD_11115,HA1E,LINCSCP_209665,Fluoxetine
0.3375,8.3068e-9,277,STAT1,CGS001-6772,96 h,LINCSKD_11111,HA1E,LINCSCP_209665,Fluoxetine
0.3336,1.2686e-8,277,STAT6,CGS001-6778,96 h,LINCSKD_11117,HA1E,LINCSCP_209665,Fluoxetine
0.2964,5.0705e-7,277,RELA,CGS001-5970,96 h,LINCSKD_10726,HA1E,LINCSCP_209665,Fluoxetine
-0.2962,4.8629e-6,230,SOCS5,CGS001-9655,96 h,LINCSKD_11042,HA1E,LINCSCP_210576,Fluoxetine
0.2333,4e-4,230,STAT4,CGS001-6775,96 h,LINCSKD_11114,HA1E,LINCSCP_210576,Fluoxetine
0.2262,5e-4,230,IL6ST,CGS001-3572,96 h,LINCSKD_9602,HA1E,LINCSCP_210576,Fluoxetine
0.6193,1.0547e-62,580,IKBKE,CGS001-9641,96 h,LINCSKD_15896,HEPG2,LINCSCP_21963,Fluoxetine
0.6163,5.8744e-62,580,JAK1,CGS001-3716,96 h,LINCSKD_15986,HEPG2,LINCSCP_21963,Fluoxetine
0.6139,2.3021e-61,580,IL6ST,CGS001-3572,96 h,LINCSKD_15925,HEPG2,LINCSCP_21963,Fluoxetine
0.571,2.1411e-56,637,STAT1,CGS001-6772,96 h,LINCSKD_20628,HT29,LINCSCP_224982,Fluoxetine
0.5094,2.2986e-43,637,IKBKE,CGS001-9641,96 h,LINCSKD_19226,HT29,LINCSCP_224982,Fluoxetine
0.5078,4.6803e-43,637,SOCS1,CGS001-8651,96 h,LINCSKD_20559,HT29,LINCSCP_224982,Fluoxetine
0.4412,9.9355e-32,637,IKBKB,CGS001-3551,96 h,LINCSKD_19225,HT29,LINCSCP_224982,Fluoxetine
0.6449,7.5203e-34,276,IKBKE,CGS001-9641,96 h,LINCSKD_23149,MCF7,LINCSCP_236001,Fluoxetine
0.5718,2.3203e-25,276,STAT3,CGS001-6774,96 h,LINCSKD_24217,MCF7,LINCSCP_236001,Fluoxetine
0.5521,2.0359e-23,276,STAT1,CGS001-6772,96 h,LINCSKD_24215,MCF7,LINCSCP_236001,Fluoxetine
0.5272,3.7848e-21,276,REL,CGS001-5966,96 h,LINCSKD_23956,MCF7,LINCSCP_236001,Fluoxetine
-0.5233,8.2593e-21,276,TNF,CGS001-7124,96 h,LINCSKD_24319,MCF7,LINCSCP_236001,Fluoxetine
0.4522,1.5463e-17,320,STAT5B,CGS001-6777,144 h,LINCSKD_34656,MCF7,LINCSCP_236280,Fluoxetine
0.2377,5e-4,208,JAK2,CGS001-3717,96 h,LINCSKD_35185,MCF7,LINCSCP_244129,Fluoxetine
0.3861,2.2133e-10,252,IKBKAP,CGS001-8518,96 h,LINCSKD_19224,HT29,LINCSCP_25221,Fluoxetine
0.3218,1.7724e-7,252,NFKB1,CGS001-4790,96 h,LINCSKD_19710,HT29,LINCSCP_25221,Fluoxetine
0.6485,4.768e-45,366,REL,CGS001-5966,96 h,LINCSKD_28535,PC3,LINCSCP_268810,Fluoxetine
0.4668,3.353e-21,366,JAK2,CGS001-3717,144 h,LINCSKD_35976,PC3,LINCSCP_268810,Fluoxetine
0.4251,1.7107e-17,366,STAT1,CGS001-6772,96 h,LINCSKD_28824,PC3,LINCSCP_268810,Fluoxetine
0.379,4.549e-6,138,NFKB1,CGS001-4790,96 h,LINCSKD_23521,MCF7,LINCSCP_34440,Fluoxetine
0.3257,1e-4,138,IKBKG,CGS001-8517,96 h,LINCSKD_23150,MCF7,LINCSCP_34440,Fluoxetine
0.3125,2e-4,138,NFKB2,CGS001-4791,96 h,LINCSKD_23522,MCF7,LINCSCP_34440,Fluoxetine
0.2991,4e-4,138,IL6,CGS001-3569,144 h,LINCSKD_34351,MCF7,LINCSCP_34440,Fluoxetine
0.2818,8e-4,138,SOCS4,CGS001-122809,96 h,LINCSKD_24168,MCF7,LINCSCP_34440,Fluoxetine
0.3313,0,158,NFKB1,CGS001-4790,96 h,LINCSKD_5654,A549,LINCSCP_4137,Fluoxetine
0.2971,2e-4,158,IKBKG,CGS001-8517,96 h,LINCSKD_5139,A549,LINCSCP_4137,Fluoxetine
0.2764,4e-4,158,JAK2,CGS001-3717,96 h,LINCSKD_5224,A549,LINCSCP_4137,Fluoxetine
0.2602,0.001,158,RELB,CGS001-5971,96 h,LINCSKD_6281,A549,LINCSCP_4137,Fluoxetine
0.3153,1.7265e-6,221,IKBKB,CGS001-3551,96 h,LINCSKD_5137,A549,LINCSCP_4277,Fluoxetine
-0.2828,0,221,STAT3,CGS001-6774,96 h,LINCSKD_6666,A549,LINCSCP_4277,Fluoxetine
-0.2776,0,221,STAT2,CGS001-6773,96 h,LINCSKD_6665,A549,LINCSCP_4277,Fluoxetine
0.4526,2.4412e-11,197,IKBKE,CGS001-9641,96 h,LINCSKD_25020,NPC,LINCSCP_43207,Fluoxetine
0.3941,1.0074e-8,197,STAT1,CGS001-6772,96 h,LINCSKD_25441,NPC,LINCSCP_43207,Fluoxetine
0.3876,1.8383e-8,197,RELB,CGS001-5971,96 h,LINCSKD_25328,NPC,LINCSCP_43207,Fluoxetine
0.4056,8.1359e-19,439,IKBKE,CGS001-9641,120 h,LINCSKD_31312,VCAP,LINCSCP_57849,Fluoxetine
0.3621,4.7449e-15,439,RELB,CGS001-5971,120 h,LINCSKD_32449,VCAP,LINCSCP_57849,Fluoxetine
0.3507,3.7735e-14,439,IL6,CGS001-3569,120 h,LINCSKD_31339,VCAP,LINCSCP_57849,Fluoxetine
0.3448,1.0692e-13,439,NFKB1,CGS001-4790,120 h,LINCSKD_31843,VCAP,LINCSCP_57849,Fluoxetine
0.3271,2.1086e-12,439,STAT1,CGS001-6772,120 h,LINCSKD_32808,VCAP,LINCSCP_57849,Fluoxetine
0.3267,2.223e-12,439,STAT5A,CGS001-6776,120 h,LINCSKD_32812,VCAP,LINCSCP_57849,Fluoxetine
-0.3984,1.6251e-16,396,RELA,CGS001-5970,96 h,LINCSKD_2675,A375,LINCSCP_71729,Fluoxetine
0.3682,3.7035e-14,396,IKBKAP,CGS001-8518,96 h,LINCSKD_1513,A375,LINCSCP_71729,Fluoxetine
0.336,6.6169e-12,396,STAT1,CGS001-6772,96 h,LINCSKD_3062,A375,LINCSCP_71729,Fluoxetine
0.3016,6.0957e-10,404,IKBKE,CGS001-9641,96 h,LINCSKD_9570,HA1E,LINCSCP_90045,Fluoxetine
0.2467,5.1616e-7,404,IL6R,CGS001-3570,96 h,LINCSKD_9601,HA1E,LINCSCP_90045,Fluoxetine
0.2401,0,297,STAT5B,CGS001-6777,96 h,LINCSKD_11116,HA1E,LINCSCP_90046,Fluoxetine
-0.5456,2.3196e-25,309,STAT2,CGS001-6773,96 h,LINCSKD_11112,HA1E,LINCSCP_90049,Fluoxetine
-0.542,5.4052e-25,309,TNF,CGS001-7124,96 h,LINCSKD_11298,HA1E,LINCSCP_90049,Fluoxetine
-0.5289,1.1279e-23,309,JAK3,CGS001-3718,96 h,LINCSKD_9664,HA1E,LINCSCP_90049,Fluoxetine
0.5173,1.5075e-22,309,REL,CGS001-5966,96 h,LINCSKD_10725,HA1E,LINCSCP_90049,Fluoxetine
-0.5035,2.8955e-21,309,IL6,CGS001-3569,96 h,LINCSKD_9600,HA1E,LINCSCP_90049,Fluoxetine
-0.4671,3.7421e-18,309,JAK2,CGS001-3717,96 h,LINCSKD_9663,HA1E,LINCSCP_90049,Fluoxetine
-0.4656,5.0046e-18,309,SOCS1,CGS001-8651,96 h,LINCSKD_11039,HA1E,LINCSCP_90049,Fluoxetine
0.4033,1.4895e-13,310,JAK1,CGS001-3716,96 h,LINCSKD_19315,HT29,LINCSCP_121625,Bupropion
0.2994,7.6749e-8,310,STAT1,CGS001-6772,96 h,LINCSKD_20628,HT29,LINCSCP_121625,Bupropion
0.2939,1.3563e-7,310,SOCS1,CGS001-8651,96 h,LINCSKD_20559,HT29,LINCSCP_121625,Bupropion
0.2731,1.0537e-6,310,STAT5B,CGS001-6777,96 h,LINCSKD_20632,HT29,LINCSCP_121625,Bupropion
0.2656,0,242,SOCS4,CGS001-122809,96 h,LINCSKD_20561,HT29,LINCSCP_121630,Bupropion
0.2345,2e-4,242,JAK2,CGS001-3717,96 h,LINCSKD_19316,HT29,LINCSCP_121630,Bupropion
0.2275,4e-4,242,REL,CGS001-5966,96 h,LINCSKD_20280,HT29,LINCSCP_121630,Bupropion
0.2218,7e-4,229,SOCS2,CGS001-8835,144 h,LINCSKD_21982,MCF7,LINCSCP_138207,Bupropion
-0.3242,4.1883e-7,233,IL6ST,CGS001-3572,144 h,LINCSKD_34352,MCF7,LINCSCP_138209,Bupropion
0.2169,9e-4,233,JAK2,CGS001-3717,144 h,LINCSKD_34365,MCF7,LINCSCP_138209,Bupropion
-0.2085,0.0014,233,NFKB2,CGS001-4791,96 h,LINCSKD_23522,MCF7,LINCSCP_138209,Bupropion
-0.205,0.0017,233,IKBKG,CGS001-8517,144 h,LINCSKD_21584,MCF7,LINCSCP_138209,Bupropion
0.4025,5.2273e-14,323,JAK2,CGS001-3717,144 h,LINCSKD_35976,PC3,LINCSCP_156408,Bupropion
0.4439,1.4338e-12,231,IL6R,CGS001-3570,96 h,LINCSKD_27674,PC3,LINCSCP_156409,Bupropion
-0.6122,4.018e-56,533,TNF,CGS001-7124,96 h,LINCSKD_11298,HA1E,LINCSCP_16170,Bupropion
-0.5782,7.2879e-49,533,IL6,CGS001-3569,96 h,LINCSKD_9600,HA1E,LINCSCP_16170,Bupropion
0.5584,4.9365e-45,533,REL,CGS001-5966,96 h,LINCSKD_10725,HA1E,LINCSCP_16170,Bupropion
0.5549,2.2942e-44,533,STAT3,CGS001-6774,96 h,LINCSKD_11113,HA1E,LINCSCP_16170,Bupropion
0.5284,1.1622e-39,533,STAT1,CGS001-6772,96 h,LINCSKD_11111,HA1E,LINCSCP_16170,Bupropion
-0.52,2.9816e-38,533,JAK2,CGS001-3717,96 h,LINCSKD_9663,HA1E,LINCSCP_16170,Bupropion
-0.4818,2.4685e-32,533,SOCS1,CGS001-8651,96 h,LINCSKD_11039,HA1E,LINCSCP_16170,Bupropion
0.5969,6.6753e-14,130,REL,CGS001-5966,96 h,LINCSKD_2674,A375,LINCSCP_1865,Bupropion
-0.5873,2.0603e-13,130,TNF,CGS001-7124,96 h,LINCSKD_3241,A375,LINCSCP_1865,Bupropion
0.5865,2.2715e-13,130,STAT6,CGS001-6778,96 h,LINCSKD_3068,A375,LINCSCP_1865,Bupropion
0.5613,3.7609e-12,130,IKBKE,CGS001-9641,96 h,LINCSKD_1515,A375,LINCSCP_1865,Bupropion
-0.5432,2.4422e-11,130,SOCS1,CGS001-8651,96 h,LINCSKD_2994,A375,LINCSCP_1865,Bupropion
0.5156,3.4556e-10,130,STAT5B,CGS001-6777,96 h,LINCSKD_3067,A375,LINCSCP_1865,Bupropion
-0.504,9.8216e-10,130,RELA,CGS001-5970,96 h,LINCSKD_2675,A375,LINCSCP_1865,Bupropion
0.4916,2.8675e-9,130,IKBKB,CGS001-3551,96 h,LINCSKD_1514,A375,LINCSCP_1865,Bupropion
0.4836,5.6099e-9,130,STAT5A,CGS001-6776,96 h,LINCSKD_3066,A375,LINCSCP_1865,Bupropion
0.3864,0,122,IL6,CGS001-3569,96 h,LINCSKD_12722,HCC515,LINCSCP_18751,Bupropion
0.6557,3.971e-38,299,JAK1,CGS001-3716,96 h,LINCSKD_5223,A549,LINCSCP_190122,Bupropion
0.6458,1.1302e-36,299,IL6ST,CGS001-3572,96 h,LINCSKD_5167,A549,LINCSCP_190122,Bupropion
0.5754,9.3824e-28,299,NFKB2,CGS001-4791,96 h,LINCSKD_5655,A549,LINCSCP_190122,Bupropion
0.4868,3.3799e-19,299,IKBKE,CGS001-9641,96 h,LINCSKD_5138,A549,LINCSCP_190122,Bupropion
0.4844,5.4084e-19,299,STAT1,CGS001-6772,96 h,LINCSKD_6664,A549,LINCSCP_190122,Bupropion
0.479,1.4891e-18,299,IKBKB,CGS001-3551,96 h,LINCSKD_5137,A549,LINCSCP_190122,Bupropion
0.6382,1.8583e-38,324,JAK1,CGS001-3716,96 h,LINCSKD_15986,HEPG2,LINCSCP_21447,Bupropion
0.5932,3.5399e-32,324,REL,CGS001-5966,96 h,LINCSKD_16954,HEPG2,LINCSCP_21447,Bupropion
0.5544,1.6497e-27,324,IKBKE,CGS001-9641,96 h,LINCSKD_15896,HEPG2,LINCSCP_21447,Bupropion
0.5435,2.7158e-26,324,IL6ST,CGS001-3572,96 h,LINCSKD_15925,HEPG2,LINCSCP_21447,Bupropion
-0.5883,5.5259e-19,189,IKBKE,CGS001-9641,96 h,LINCSKD_19226,HT29,LINCSCP_223151,Bupropion
0.5838,1.1839e-18,189,STAT6,CGS001-6778,96 h,LINCSKD_20633,HT29,LINCSCP_223151,Bupropion
0.311,2.3103e-20,843,STAT5B,CGS001-6777,144 h,LINCSKD_34656,MCF7,LINCSCP_239064,Bupropion
0.2113,5.799e-10,843,REL,CGS001-5966,96 h,LINCSKD_23956,MCF7,LINCSCP_239064,Bupropion
0.2003,4.4688e-9,843,IKBKAP,CGS001-8518,144 h,LINCSKD_21581,MCF7,LINCSCP_239064,Bupropion
0.484,6.6338e-19,298,IKBKE,CGS001-9641,96 h,LINCSKD_23149,MCF7,LINCSCP_240746,Bupropion
0.4789,1.7383e-18,298,STAT1,CGS001-6772,96 h,LINCSKD_24215,MCF7,LINCSCP_240746,Bupropion
0.4229,2.3186e-14,298,STAT3,CGS001-6774,96 h,LINCSKD_24217,MCF7,LINCSCP_240746,Bupropion
0.4056,3.1368e-13,298,STAT6,CGS001-6778,96 h,LINCSKD_24220,MCF7,LINCSCP_240746,Bupropion
0.3955,1.3397e-12,298,IKBKB,CGS001-3551,96 h,LINCSKD_23148,MCF7,LINCSCP_240746,Bupropion
0.394,1.1269e-6,143,IKBKE,CGS001-9641,96 h,LINCSKD_25020,NPC,LINCSCP_261976,Bupropion
0.3918,1.3029e-6,143,SOCS2,CGS001-8835,96 h,LINCSKD_25416,NPC,LINCSCP_261976,Bupropion
0.2868,7.0563e-12,550,TNF,CGS001-7124,96 h,LINCSKD_28936,PC3,LINCSCP_269571,Bupropion
0.2675,1.8185e-10,550,IKBKB,CGS001-3551,96 h,LINCSKD_27650,PC3,LINCSCP_269571,Bupropion
0.4784,3.165e-45,769,REL,CGS001-5966,96 h,LINCSKD_28535,PC3,LINCSCP_47443,Bupropion
0.4059,7.387e-32,769,JAK1,CGS001-3716,96 h,LINCSKD_27721,PC3,LINCSCP_47443,Bupropion
-0.3527,1.0754e-7,215,SOCS4,CGS001-122809,96 h,LINCSKD_2997,A375,LINCSCP_74675,Bupropion
0.3703,4.7012e-11,296,SOCS2,CGS001-8835,96 h,LINCSKD_2995,A375,LINCSCP_74677,Bupropion
0.3677,6.5624e-11,296,IL6ST,CGS001-3572,96 h,LINCSKD_1545,A375,LINCSCP_74677,Bupropion
0.2602,3e-4,188,STAT3,CGS001-6774,96 h,LINCSKD_3064,A375,LINCSCP_74678,Bupropion
0.2407,9e-4,188,NFKB1,CGS001-4790,96 h,LINCSKD_2066,A375,LINCSCP_74678,Bupropion
0.5144,8.4148e-22,302,IKBKB,CGS001-3551,96 h,LINCSKD_7604,ASC,LINCSCP_11178,Paroxetine
0.3898,2.1236e-12,302,IKBKE,CGS001-9641,96 h,LINCSKD_7605,ASC,LINCSCP_11178,Paroxetine
0.339,1.4483e-7,229,IKBKAP,CGS001-8518,96 h,LINCSKD_19224,HT29,LINCSCP_122308,Paroxetine
-0.3142,1.2173e-6,229,IL6,CGS001-3569,96 h,LINCSKD_19255,HT29,LINCSCP_122308,Paroxetine
0.5769,2.0915e-46,508,STAT5A,CGS001-6776,96 h,LINCSKD_20631,HT29,LINCSCP_123959,Paroxetine
0.2488,0,270,IL6,CGS001-3569,144 h,LINCSKD_34351,MCF7,LINCSCP_138888,Paroxetine
0.2252,2e-4,270,NFKB1,CGS001-4790,96 h,LINCSKD_23521,MCF7,LINCSCP_138888,Paroxetine
-0.2591,0,255,IL6ST,CGS001-3572,96 h,LINCSKD_35165,MCF7,LINCSCP_138889,Paroxetine
-0.3621,2.7529e-11,318,TNF,CGS001-7124,96 h,LINCSKD_24319,MCF7,LINCSCP_140543,Paroxetine
0.2819,3.2123e-7,318,IKBKAP,CGS001-8518,144 h,LINCSKD_21581,MCF7,LINCSCP_140543,Paroxetine
0.4884,6.8604e-21,325,IKBKE,CGS001-9641,96 h,LINCSKD_23149,MCF7,LINCSCP_140544,Paroxetine
0.4587,2.6026e-18,325,STAT3,CGS001-6774,96 h,LINCSKD_24217,MCF7,LINCSCP_140544,Paroxetine
0.4168,4.3085e-15,325,STAT1,CGS001-6772,96 h,LINCSKD_24215,MCF7,LINCSCP_140544,Paroxetine
0.3145,1e-4,149,SOCS4,CGS001-122809,96 h,LINCSKD_24168,MCF7,LINCSCP_140548,Paroxetine
0.4199,9.1207e-11,219,STAT2,CGS001-6773,96 h,LINCSKD_28825,PC3,LINCSCP_157097,Paroxetine
-0.3036,4.7365e-6,219,JAK2,CGS001-3717,144 h,LINCSKD_35976,PC3,LINCSCP_157097,Paroxetine
0.3803,3.0429e-12,314,JAK1,CGS001-3716,96 h,LINCSKD_27721,PC3,LINCSCP_158745,Paroxetine
0.3681,1.6485e-11,314,JAK3,CGS001-3718,96 h,LINCSKD_36727,PC3,LINCSCP_158745,Paroxetine
-0.3243,4.0327e-9,314,NFKB1,CGS001-4790,96 h,LINCSKD_28060,PC3,LINCSCP_158745,Paroxetine
0.3529,3.4082e-10,299,IL6R,CGS001-3570,96 h,LINCSKD_27674,PC3,LINCSCP_158746,Paroxetine
0.3178,1.928e-8,299,IKBKB,CGS001-3551,96 h,LINCSKD_27650,PC3,LINCSCP_158746,Paroxetine
0.3364,8.6616e-7,204,IKBKG,CGS001-8517,144 h,LINCSKD_26065,PC3,LINCSCP_158747,Paroxetine
0.2214,0.0015,204,NFKB2,CGS001-4791,96 h,LINCSKD_28061,PC3,LINCSCP_158747,Paroxetine
0.2995,3.0461e-8,329,JAK1,CGS001-3716,96 h,LINCSKD_1612,A375,LINCSCP_176678,Paroxetine
0.2836,1.6662e-7,329,SOCS5,CGS001-9655,96 h,LINCSKD_2998,A375,LINCSCP_176678,Paroxetine
0.4427,2.2575e-26,520,STAT6,CGS001-6778,96 h,LINCSKD_3068,A375,LINCSCP_178769,Paroxetine
0.4426,2.3766e-26,520,IL6ST,CGS001-3572,96 h,LINCSKD_1545,A375,LINCSCP_178769,Paroxetine
0.4333,3.3056e-25,520,SOCS2,CGS001-8835,96 h,LINCSKD_2995,A375,LINCSCP_178769,Paroxetine
0.4199,1.2485e-23,520,STAT5A,CGS001-6776,96 h,LINCSKD_3066,A375,LINCSCP_178769,Paroxetine
0.3831,1.2712e-19,520,IKBKB,CGS001-3551,96 h,LINCSKD_1514,A375,LINCSCP_178769,Paroxetine
0.3609,1.9107e-17,520,REL,CGS001-5966,96 h,LINCSKD_2674,A375,LINCSCP_178769,Paroxetine
0.2752,2.0572e-7,345,IKBKE,CGS001-9641,96 h,LINCSKD_1515,A375,LINCSCP_179533,Paroxetine
0.241,5.9928e-6,345,JAK3,CGS001-3718,96 h,LINCSKD_1614,A375,LINCSCP_179533,Paroxetine
-0.4677,1.4527e-31,556,IKBKB,CGS001-3551,96 h,LINCSKD_12702,HCC515,LINCSCP_18898,Paroxetine
0.4274,4.2101e-26,556,STAT1,CGS001-6772,96 h,LINCSKD_13762,HCC515,LINCSCP_18898,Paroxetine
0.3616,1.2758e-18,556,IL6ST,CGS001-3572,96 h,LINCSKD_12723,HCC515,LINCSCP_18898,Paroxetine
0.386,3.1448e-9,220,IKBKG,CGS001-8517,96 h,LINCSKD_5139,A549,LINCSCP_190012,Paroxetine
0.3768,7.8506e-9,220,IL6R,CGS001-3570,96 h,LINCSKD_5166,A549,LINCSCP_190012,Paroxetine
0.3495,1.0222e-7,220,RELB,CGS001-5971,96 h,LINCSKD_6281,A549,LINCSCP_190012,Paroxetine
-0.4708,2.9942e-27,469,SOCS2,CGS001-8835,96 h,LINCSKD_13715,HCC515,LINCSCP_19093,Paroxetine
0.3972,3.5448e-21,522,SOCS1,CGS001-8651,96 h,LINCSKD_6595,A549,LINCSCP_191768,Paroxetine
0.3189,8.4516e-14,522,NFKB1,CGS001-4790,96 h,LINCSKD_5654,A549,LINCSCP_191768,Paroxetine
0.5744,1.3239e-40,447,REL,CGS001-5966,96 h,LINCSKD_10725,HA1E,LINCSCP_209330,Paroxetine
0.501,8.8915e-30,447,STAT3,CGS001-6774,96 h,LINCSKD_11113,HA1E,LINCSCP_209330,Paroxetine
0.4974,2.5916e-29,447,STAT1,CGS001-6772,96 h,LINCSKD_11111,HA1E,LINCSCP_209330,Paroxetine
0.4854,8.5272e-28,447,NFKB2,CGS001-4791,96 h,LINCSKD_10097,HA1E,LINCSCP_209330,Paroxetine
0.4712,4.3813e-26,447,JAK1,CGS001-3716,96 h,LINCSKD_9662,HA1E,LINCSCP_209330,Paroxetine
-0.4711,4.5238e-26,447,IL6,CGS001-3569,96 h,LINCSKD_9600,HA1E,LINCSCP_209330,Paroxetine
0.4439,5.2275e-23,447,STAT6,CGS001-6778,96 h,LINCSKD_11117,HA1E,LINCSCP_209330,Paroxetine
-0.4177,2.6807e-20,447,STAT2,CGS001-6773,96 h,LINCSKD_11112,HA1E,LINCSCP_209330,Paroxetine
-0.41,1.5131e-19,447,TNF,CGS001-7124,96 h,LINCSKD_11298,HA1E,LINCSCP_209330,Paroxetine
-0.3843,3.5166e-17,447,JAK3,CGS001-3718,96 h,LINCSKD_9664,HA1E,LINCSCP_209330,Paroxetine
0.3597,4.2056e-15,447,IL6ST,CGS001-3572,96 h,LINCSKD_9602,HA1E,LINCSCP_209330,Paroxetine
0.497,1.1521e-23,357,SOCS1,CGS001-8651,96 h,LINCSKD_11039,HA1E,LINCSCP_211181,Paroxetine
0.4351,6.3423e-18,357,JAK2,CGS001-3717,96 h,LINCSKD_9663,HA1E,LINCSCP_211181,Paroxetine
0.3919,4.1854e-15,372,SOCS1,CGS001-8651,96 h,LINCSKD_17248,HEPG2,LINCSCP_219172,Paroxetine
0.3524,2.5645e-12,372,RELB,CGS001-5971,96 h,LINCSKD_16956,HEPG2,LINCSCP_219172,Paroxetine
0.2615,3.111e-7,372,NFKB1,CGS001-4790,96 h,LINCSKD_16384,HEPG2,LINCSCP_219172,Paroxetine
0.5148,1.9445e-27,385,IL6ST,CGS001-3572,96 h,LINCSKD_15925,HEPG2,LINCSCP_220521,Paroxetine
0.4807,1.1661e-23,385,IKBKB,CGS001-3551,96 h,LINCSKD_15895,HEPG2,LINCSCP_220521,Paroxetine
0.4077,7.477e-17,385,IKBKAP,CGS001-8518,96 h,LINCSKD_15894,HEPG2,LINCSCP_220521,Paroxetine
0.3662,1.1521e-13,385,IKBKE,CGS001-9641,96 h,LINCSKD_15896,HEPG2,LINCSCP_220521,Paroxetine
0.3398,7.3413e-12,385,SOCS2,CGS001-8835,96 h,LINCSKD_17249,HEPG2,LINCSCP_220521,Paroxetine
0.3347,1.5698e-11,385,REL,CGS001-5966,96 h,LINCSKD_16954,HEPG2,LINCSCP_220521,Paroxetine
0.3162,2.1847e-10,385,STAT5B,CGS001-6777,96 h,LINCSKD_17318,HEPG2,LINCSCP_220521,Paroxetine
0.2657,9.2373e-6,271,IL6R,CGS001-3570,96 h,LINCSKD_23173,MCF7,LINCSCP_235850,Paroxetine
0.2866,0,219,SOCS5,CGS001-9655,96 h,LINCSKD_24169,MCF7,LINCSCP_239218,Paroxetine
0.2865,0,219,STAT2,CGS001-6773,96 h,LINCSKD_24216,MCF7,LINCSCP_239218,Paroxetine
0.2539,1e-4,219,SOCS1,CGS001-8651,96 h,LINCSKD_24167,MCF7,LINCSCP_239218,Paroxetine
-0.352,5.9083e-14,429,JAK2,CGS001-3717,144 h,LINCSKD_34365,MCF7,LINCSCP_240907,Paroxetine
0.3474,1.3075e-13,429,STAT5B,CGS001-6777,144 h,LINCSKD_34656,MCF7,LINCSCP_240907,Paroxetine
0.6549,3.044e-60,481,STAT1,CGS001-6772,96 h,LINCSKD_20628,HT29,LINCSCP_25189,Paroxetine
0.5989,3.7611e-48,481,IKBKE,CGS001-9641,96 h,LINCSKD_19226,HT29,LINCSCP_25189,Paroxetine
0.5594,6.0275e-41,481,SOCS1,CGS001-8651,96 h,LINCSKD_20559,HT29,LINCSCP_25189,Paroxetine
0.4753,1.7461e-28,481,JAK1,CGS001-3716,96 h,LINCSKD_19315,HT29,LINCSCP_25189,Paroxetine
0.4947,1.3303e-20,311,STAT5A,CGS001-6776,96 h,LINCSKD_28828,PC3,LINCSCP_266549,Paroxetine
